trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-43.771489109175924,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,4,-129.33763831370476,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-98.43552310714588,"{0: 26, 1: 4, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-172.93426503314774,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,7,-113.05311283088216,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-315.9984506205226,"{0: 18, 1: 0, 2: 2, 3: 4, 4: 6}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,13,-69.59186413823414,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-149.80123045352525,"{0: 14, 1: 1, 2: 0, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-42.83550491485996,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-87.3195163710767,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-210.12965387892447,"{0: 19, 1: 6, 2: 6, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-214.35501751716387,"{0: 18, 1: 3, 2: 3, 3: 2, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,7,-67.81368641998215,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,16,8.366630447057144,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,6,-39.147773431646996,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,4,-124.17034249959721,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 3}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-156.75223101690082,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,9,-88.98818157648186,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 3}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,14,18.65410358971628,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,8,-69.07890080510552,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",35,20,-194.5363781618403,"{0: 8, 1: 0, 2: 1, 3: 2, 4: 4}",1
2,True,"{'a': 0, 'e': 0}",20,0,-14.95436094752591,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,25.54931972465809,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,14,18.440747948630815,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,0,-147.67040257219864,"{0: 24, 1: 0, 2: 0, 3: 3, 4: 3}",1
6,True,"{'a': 0, 'e': 0}",25,0,-99.69301709079548,"{0: 21, 1: 0, 2: 0, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,2,26.68695833612783,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,6,6.0722470609629,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,4,-94.41738741121725,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",25,14,-21.448220945047623,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
