trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-85.20417200114196,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-58.4416444613757,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-121.56861772678873,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-11.823242823993418,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-124.76818262495775,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-100.0144053734744,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-97.59217109899376,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-154.4498103527185,"{0: 13, 1: 0, 2: 9, 3: 2, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,13,-38.93886732764309,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,0,-179.71352689048484,"{0: 8, 1: 4, 2: 3, 3: 3, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,16,-70.58202812534986,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 1}",1
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",30,0,-82.5012235766792,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,2,-79.53888924076355,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-24.20339786391589,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-43.76941184003964,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",30,0,-170.7939467408211,"{0: 19, 1: 0, 2: 7, 3: 2, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-60.41924487997285,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-36.7662496347887,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-162.26601435335598,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",30,0,-80.86605090634137,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",30,0,-131.75705685925536,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-113.69099293366774,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-127.21738112152407,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-87.77668126400272,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",1
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-129.65972566766288,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",25,0,-124.46906438464526,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",30,0,-235.26882873875746,"{0: 12, 1: 8, 2: 5, 3: 2, 4: 3}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",30,0,-137.8679309103099,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-97.12285403152292,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-95.06407766663614,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",30,0,-154.95090518167473,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-80.94743697702977,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-53.24983393967778,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-69.58199633962694,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-61.31051137503352,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",30,0,-142.14965239125246,"{0: 19, 1: 1, 2: 6, 3: 3, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,0,-33.42064575516063,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",30,0,-86.56408688199427,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",30,0,-220.90320906373802,"{0: 16, 1: 1, 2: 7, 3: 4, 4: 2}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",25,0,-172.70014595381986,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",35,0,-115.84609701230457,"{0: 18, 1: 7, 2: 10, 3: 0, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-87.12593163247283,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-80.1105901411996,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",20,0,-77.11239148319608,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-115.2170561522946,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,0,-128.66205868727474,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",20,0,-54.97415575222041,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
